repo,author_months,total_kloc,contributor_count,avg_pr_review_days,pr_merge_rate,has_ci,test_file_ratio,lang_count,commit_frequency,stars,ai_tools_count,ai_tools_list
psf/requests,16.9,270.6,118,0.17,0.263,1,0.0846,2,1.41,54012,0,
pallets/flask,24.25,238.9,140,0.01,0.325,1,0.2458,4,4.62,71595,0,
tiangolo/fastapi,21.45,949.8,83,2.59,0.28,1,0.2321,5,32.68,98721,0,
pallets/click,27.9,101.8,154,1.75,0.435,1,0.16,2,4.48,17511,0,
Textualize/rich,16.85,1010.2,127,0.91,0.48,1,0.1157,3,6.02,56507,0,
encode/httpx,21.6,171.9,147,0.82,0.62,1,0.264,2,2.19,15282,0,
pydantic/pydantic,34.3,8141.0,181,1.4,0.56,1,0.277,6,13.27,27905,0,
pytest-dev/pytest,36.6,805.1,160,0.79,0.708,1,0.2301,2,6.21,13880,0,
celery/celery,46.7,735.6,317,1.74,0.78,1,0.2046,6,5.29,28536,1,Copilot
scrapy/scrapy,29.2,608.9,117,1.0,0.362,1,0.2848,5,7.84,62028,0,
encode/django-rest-framework,27.85,1288.6,328,2.55,0.62,1,0.106,4,2.32,30042,0,
huggingface/datasets,43.3,2320.6,236,0.02,0.828,1,0.2521,2,6.25,21553,0,
streamlit/streamlit,25.65,20304.6,45,0.26,0.767,1,0.0612,9,44.44,44787,3,"Agents,Claude,Copilot"
plotly/plotly.py,19.8,8030.7,49,3.92,0.785,1,0.0707,3,17.36,18569,0,
python-poetry/poetry,43.4,500.1,265,0.84,0.772,1,0.1323,2,6.08,34272,0,
pre-commit/pre-commit,28.5,91.1,62,0.09,0.613,1,0.2634,9,3.26,15298,0,
docker/compose,39.35,556.3,120,1.34,0.703,1,0.1577,6,5.39,37426,1,Claude
expressjs/express,15.4,195.8,103,6.23,0.2,1,0.0,1,1.0,69069,0,
axios/axios,40.75,540.8,369,0.34,0.477,1,0.1518,3,3.89,109089,3,"Agents,Claude,Copilot"
vitejs/vite,30.15,1388.9,171,2.3,0.65,1,0.0412,14,24.71,80893,1,Copilot
gin-gonic/gin,24.9,211.1,228,6.38,0.403,1,0.3385,2,2.08,88578,0,
gofiber/fiber,20.1,1318.1,36,0.27,0.85,1,0.2995,2,47.19,39792,2,"Agents,Copilot"
gitpython-developers/GitPython,20.75,236.5,53,0.19,0.877,1,0.1659,4,8.72,5121,0,
sqlalchemy/sqlalchemy,36.7,2064.3,156,0.66,0.3,1,0.2894,2,3.76,11872,0,
encode/starlette,31.05,155.7,201,0.07,0.672,1,0.2481,2,3.19,12353,0,
psf/black,48.5,161.8,294,0.97,0.662,1,0.03,4,4.61,41524,0,
astral-sh/ruff,29.0,2905.5,120,0.18,0.642,1,0.3509,9,84.85,47750,2,"Agents,Claude"
pallets/werkzeug,21.25,338.6,101,0.01,0.76,1,0.1065,5,4.56,6862,0,
beetbox/beets,20.6,693.3,88,1.95,0.797,1,0.2129,5,10.38,15202,1,Copilot
